chr	start	end	strand	type	transposon	gene_id	gene_name	transcript_id
chr10	38390906	38390907	-	Predicted	LTR|ERVL|LTR84b	ENSG00000291056.1	SEPTIN7P9	
chr10	38447665	38447666	+	Predicted	DNA|hAT-Charlie|MER1A	ENSG00000290535.1	ENSG00000290535	
chr10	42361034	42361035	-	Predicted	LTR|ERV1|LTR70	ENSG00000291065.1	ENSG00000291065	
chr10	42486979	42486981	+	Predicted	LTR|ERVK|MER9B	ENSG00000185904.12	LINC00839	
chr10	42492081	42492082	+	Predicted	LTR|ERVK|HERVK9-int	ENSG00000185904.12	LINC00839	
chr10	43153336	43153337	+	Predicted	SINE|Alu|AluYc	ENSG00000169826.8	CSGALNACT2	
chr10	43154728	43154736	+	Predicted	SINE|Alu|AluSx1	ENSG00000169826.8	CSGALNACT2	
chr10	43407918	43407970	-	Predicted	SINE|Alu|AluJb	ENSG00000169813.17	HNRNPF	
chr10	43436094	43436104	+	Predicted	SINE|Alu|AluSq	ENSG00000243660.12	ZNF487	
chr10	43628817	43628818	+	Annotated	LTR|ERVL|LTR101_Mam	ENSG00000223910.1	ZNF32-AS3	ENST00000458063.1
chr10	43672309	43672310	+	Predicted	DNA|hAT-Charlie|MER58B	ENSG00000223910.1	ZNF32-AS3	
chr10	44825581	44825582	-	Predicted	DNA|TcMar-Tigger|MER44B	ENSG00000224812.4	TMEM72-AS1	
chr10	45000524	45000532	+	Predicted	SINE|MIR|MIRb	ENSG00000165512.5	ZNF22	
chr10	45848912	45848913	-	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000290921.1	ENSG00000290921	
chr10	46370321	46370345	+	Predicted	LTR|ERVK|LTR14A	ENSG00000273225.5	ENSG00000279458.2	
chr10	46463885	46463888	-	Predicted	DNA|hAT-Charlie|MER5A	ENSG00000204174.8	NPY4R	
chr10	46470397	46470409	-	Predicted	LTR|ERVL|LTR33	ENSG00000204174.8	NPY4R	
chr10	46470466	46470467	-	Predicted	LTR|ERVL|LTR33	ENSG00000204174.8	NPY4R	
chr10	46598063	46598163	-	Annotated	LTR|ERVL|LTR41B	ENSG00000231187.3	SYT15-AS1	ENST00000659936.1
chr10	4678131	4678269	-	Annotated	SINE|MIR|MIR3	ENSG00000231298.8	MANCR	ENST00000700874.1
chr10	46793649	46793650	+	Predicted	SINE|Alu|AluY	ENSG00000291069.1	BMS1P1	
chr10	47914193	47914194	+	Predicted	LTR|ERVL|LTR33	ENSG00000264717.6	NPY4R2	
chr10	47914252	47914264	+	Predicted	LTR|ERVL|LTR33	ENSG00000264717.6	NPY4R2	
chr10	47920739	47920740	+	Predicted	DNA|hAT-Charlie|MER5A	ENSG00000264717.6	NPY4R2	
chr10	47998558	47998559	-	Predicted	LTR|ERVK|LTR14A	ENSG00000276430.3	ENSG00000289143.1	
chr10	48052140	48052141	-	Predicted	LINE|L2|L2c	ENSG00000276850.5	ENSG00000289444.1	
chr10	49137479	49137480	+	Annotated	LTR|ERVL-MaLR|MLT1G3	ENSG00000234736.6	FAM170B-AS1	ENST00000440054.2
chr10	4929657	4929658	+	Predicted	LTR|ERV1|MER50-int	ENSG00000165568.18	AKR1E2	
chr10	49583316	49583317	-	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000225830.16	ERCC6	
chr10	49987166	49987167	+	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000178440.9	ENSG00000204149.16	
chr10	5015047	5015048	-	Annotated	LTR|ERV1|PABL_B-int	ENSG00000151632.18	AKR1C2	ENST00000604439.1
chr10	5017933	5018031	-	Annotated	LTR|ERVL-MaLR|MSTA	ENSG00000151632.18	AKR1C2	ENST00000604507.5
chr10	5035339	5035359	+	Annotated	LTR|ERVK|LTR14A	ENSG00000196139.14	AKR1C3	ENST00000605781.5
chr10	50964270	50964271	+	Annotated	LTR|ERV1|LTR12D	ENSG00000261368.1	ENSG00000261368	ENST00000561565.1
chr10	51374517	51374518	+	Predicted	LTR|ERVL-MaLR|MLT1A1	ENSG00000185532.20	PRKG1	
chr10	52039195	52039218	-	Annotated	LTR|ERV1|LTR7	ENSG00000289527.1	ENSG00000289527	ENST00000691193.1
chr10	52039559	52039562	-	Predicted	LTR|ERV1|LTR7	ENSG00000289527.1	ENSG00000289527	
chr10	52046748	52046766	+	Annotated	LINE|L2|L2a	ENSG00000185532.20	PRKG1	ENST00000646354.1
chr10	52282154	52282155	+	Predicted	LINE|CR1|L3	ENSG00000185532.20	PRKG1	
chr10	52955451	52955452	-	Predicted	LTR|ERV1|HERVS71-int	ENSG00000285958.1	ENSG00000285958	
chr10	53030023	53030024	-	Annotated	LTR|ERV1|LTR30	ENSG00000227121.2	LINC02672	ENST00000668157.1
chr10	53030097	53030103	-	Predicted	LTR|ERV1|LTR30	ENSG00000227121.2	LINC02672	
chr10	53126844	53126845	+	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000233805.1	ENSG00000252161.1	
chr10	5699493	5699525	+	Annotated	LINE|L1|L1MB8	ENSG00000108021.22	TASOR2	ENST00000463468.5
chr10	57222706	57222707	-	Annotated	LTR|ERVL|MER54B	ENSG00000289158.1	ENSG00000289158	ENST00000690550.1
chr10	5842131	5842132	-	Annotated	LTR|ERVL-MaLR|MSTA	ENSG00000057608.17	GDI2	ENST00000380127.5
chr10	58553336	58553337	+	Predicted	LTR|ERVL-MaLR|MLT1D	ENSG00000122870.12	BICC1	
chr10	59000206	59000207	+	Annotated	LTR|ERVL-MaLR|MLT1H	ENSG00000237949.3	LINC00844	ENST00000666160.1
chr10	5968927	5968929	-	Annotated	LINE|L1|L1MCc			NM_001351096.1
chr10	5979665	5979666	-	Predicted	LINE|L1|L1ME3Cz	ENSG00000134470.21	IL15RA	
chr10	5979735	5979738	-	Predicted	LINE|L1|L1ME3Cz	ENSG00000134470.21	IL15RA	
chr10	59960881	59960913	-	Annotated	LINE|L1|L1MA6	ENSG00000235931.2	LINC01553	ENST00000521074.1
chr10	61480041	61480042	+	Annotated	DNA|hAT-Charlie|MER3			"NR_120644.1, NR_120645.1"
chr10	61481841	61481842	+	Predicted	LTR|ERVL|LTR16	ENSG00000288052.1	ENSG00000288052	
chr10	61482791	61482792	+	Predicted	LTR|ERV1|MER39	ENSG00000288052.1	ENSG00000288052	
chr10	63430575	63430576	+	Annotated	LINE|L1|L1MB7			NR_134312.1
chr10	63469608	63469609	-	Predicted	LINE|L2|L2c	ENSG00000171988.20	JMJD1C	
chr10	63990270	63990271	+	Predicted	LTR|ERV1|MER50-int	ENSG00000228566.2	ENSG00000228566	
chr10	65123667	65123668	+	Annotated	LTR|ERVL-MaLR|MLT1C	ENSG00000282906.1	ENSG00000282906	ENST00000635094.1
chr10	65570446	65570574	+	Annotated	LTR|ERV1|MER61A	ENSG00000228065.13	LINC01515	ENST00000669518.1
chr10	65570743	65570744	+	Predicted	LTR|ERV1|MER61-int	ENSG00000228065.13	LINC01515	
chr10	65571485	65571486	+	Annotated	LTR|ERV1|MER61-int	ENSG00000228065.13	LINC01515	ENST00000660825.1
chr10	65572936	65572937	+	Predicted	LTR|ERV1|MER61-int	ENSG00000228065.13	LINC01515	
chr10	66064171	66064172	-	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000183230.18	CTNNA3	
chr10	66120508	66120509	+	Predicted	SINE|MIR|MIRc	ENSG00000273360.1	ENSG00000273360	
chr10	6618705	6618706	+	Predicted	LTR|ERVL|MER21A	ENSG00000225948.2	ENSG00000237943.8	
chr10	66234881	66234882	+	Predicted	LTR|ERVL-MaLR|MLT1F2	ENSG00000273360.1	ENSG00000273360	
chr10	6737337	6737419	+	Annotated	LTR|ERVL-MaLR|MLT1H	ENSG00000223784.2	ENSG00000285988.1	
chr10	6779545	6779617	+	Annotated	LTR|ERVL|MLT2A2	ENSG00000238266.3	ENSG00000285845.1	
chr10	67886347	67886435	+	Predicted	SINE|Alu|AluJo	ENSG00000096717.12	SIRT1	
chr10	68521598	68521612	-	Predicted	SINE|Alu|AluYa5	ENSG00000122912.15	ENSG00000138346.15	
chr10	68673402	68673412	+	Predicted	LINE|L1|L1MEi	ENSG00000138336.9	TET1	
chr10	69315769	69315817	+	Annotated	SINE|MIR|MIRc	ENSG00000156515.25	HK1	ENST00000298649.8
chr10	69495135	69495136	+	Annotated	SINE|MIR|MIR3	ENSG00000099282.10	TSPAN15	ENST00000459981.1
chr10	70610317	70610318	+	Annotated	LTR|ERVL-MaLR|MLT1A1	ENSG00000107719.10	PALD1	ENST00000697575.1
chr10	70939047	70939054	+	Annotated	LINE|CR1|L3	ENSG00000259267.4	LINC02622	ENST00000664582.1
chr10	7097127	7097128	+	Predicted	SINE|MIR|MIRc	ENSG00000223581.2	LINC02665	
chr10	7102701	7102702	-	Predicted	LTR|ERVL-MaLR|THE1C	ENSG00000287277.1	ENSG00000287277	
chr10	7186783	7186784	-	Annotated	DNA|hAT-Ac|OldhAT1			NR_132972.1
chr10	72215267	72215268	+	Predicted	SINE|Alu|AluSx1	ENSG00000166295.9	ANAPC16	
chr10	72220055	72220056	+	Predicted	SINE|Alu|AluSp	ENSG00000166295.9	ANAPC16	
chr10	72355148	72355149	-	Annotated	SINE|MIR|MIR3	ENSG00000148719.16	DNAJB12	ENST00000338820.7
chr10	72423371	72423372	-	Predicted	LINE|L2|L2	ENSG00000107745.20	MICU1	
chr10	73126206	73126207	-	Annotated	LINE|L1|L1ME2z	ENSG00000221164.1	SNORA11F	ENST00000408237.1
chr10	73480462	73480463	-	Predicted	SINE|Alu|AluSx1	ENSG00000107758.16	PPP3CB	
chr10	73742417	73742418	+	Predicted	SINE|Alu|AluSc5	ENSG00000176986.16	SEC24C	
chr10	73746160	73746161	+	Predicted	SINE|Alu|AluSg	ENSG00000176986.16	SEC24C	
chr10	73796322	73796323	+	Predicted	SINE|Alu|AluJr	ENSG00000214655.11	ZSWIM8	
chr10	73922776	73922777	-	Annotated	LINE|L1|L1MB8	ENSG00000222047.9	C10orf55	ENST00000409178.5
chr10	74509509	74509510	-	Predicted	LINE|L1|L1MA5A	ENSG00000232342.7	ENSG00000232342	
chr10	7472848	7472849	-	Annotated	LTR|ERVL-MaLR|MLT1D			"NR_184109.1, NR_184107.1"
chr10	75243568	75243569	+	Annotated	LTR|ERVL-MaLR|MLT1N2	ENSG00000226051.10	ZNF503-AS1	ENST00000666247.1
chr10	7619659	7619676	-	Annotated	LTR|ERVL-MaLR|THE1D	ENSG00000123243.15	ITIH5	ENST00000613909.4
chr10	78040205	78040206	+	Predicted	LINE|RTE-BovB|MamRTE1	ENSG00000138326.21	RPS24	
chr10	7813927	7813928	+	Predicted	LTR|ERVL|ERV3-16A3_I-int	ENSG00000165632.9	TAF3	
chr10	78301194	78301196	+	Annotated	LINE|L1|L1ME4a	ENSG00000230417.12	LINC00595	ENST00000634933.1
chr10	79827875	79827955	-	Predicted	SINE|Alu|AluSp	ENSG00000225484.7	NUTM2B-AS1	
chr10	80081641	80081677	+	Predicted	SINE|Alu|AluJr	ENSG00000133678.14	TMEM254	
chr10	80208209	80208210	+	Annotated	SINE|MIR|MIRc	ENSG00000237523.2	LINC00857	ENST00000432308.1
chr10	82232918	82232920	-	Annotated	LTR|ERVL|MER74B	ENSG00000225738.2	NRG3-AS1	ENST00000448936.2
chr10	83673239	83673240	-	Predicted	SINE|MIR|MIRc	ENSG00000233945.2	LINC02650	
chr10	84140581	84140582	-	Annotated	SINE|MIR|MIR3	ENSG00000271933.1	ENSG00000271933	ENST00000606511.1
chr10	84172075	84172093	-	Annotated	LTR|ERV1|LTR2B	ENSG00000285972.1	CERNA2	ENST00000647830.1
chr10	84172147	84172148	-	Predicted	LTR|ERV1|LTR2B	ENSG00000285972.1	CERNA2	
chr10	84279968	84279998	+	Annotated	LINE|L1|L1PA2	ENSG00000229404.6	LINC00858	ENST00000661042.1
chr10	85432771	85432775	-	Annotated	LINE|L2|L2b	ENSG00000223993.2	LINC02647	ENST00000658106.1
chr10	85719527	85719528	-	Predicted	LTR|ERVL-MaLR|THE1A	ENSG00000182771.19	GRID1	
chr10	87021543	87021544	+	Predicted	LTR|ERVK|LTR14A	ENSG00000188100.9	ENSG00000272508.1	
chr10	87587353	87587354	+	Predicted	LTR|ERVL-MaLR|MLT1D	ENSG00000225913.2	ENSG00000225913	
chr10	87607949	87607950	+	Predicted	LTR|ERV1|LTR37A	ENSG00000225913.2	ENSG00000225913	
chr10	88953813	88953814	+	Annotated	LTR|ERVL-MaLR|THE1D	ENSG00000026103.25	FAS	ENST00000688239.1
chr10	89285014	89285038	+	Predicted	LTR|ERV1|LTR7	ENSG00000119922.11	IFIT2	ENST00000680381.1
chr10	89287146	89287147	+	Predicted	LTR|ERV1|HERVH-int	ENSG00000119922.11	IFIT2	ENST00000681150.1
chr10	89342609	89342749	-	Annotated	LTR|LTR|MamRep1527	ENSG00000107798.18	LIPA	ENST00000282673.5
chr10	89413398	89413399	+	Predicted	DNA|hAT-Tip100|MER96B	ENSG00000152778.10	IFIT5	
chr10	89413826	89413912	+	Predicted	DNA|hAT-Tip100|MER96B	ENSG00000152778.10	IFIT5	
chr10	89462868	89462869	+	Predicted	LTR|ERVL-MaLR|MLT1J	ENSG00000234452.5	SLC16A12-AS1	
chr10	89646610	89646611	-	Predicted	SINE|MIR|MIR3	ENSG00000152782.18	PANK1	
chr10	8970125	8970126	+	Annotated	LTR|ERVL-MaLR|MLT1I	ENSG00000223808.1	ENSG00000223808	ENST00000456526.1
chr10	89830184	89830185	+	Predicted	LTR|ERVL|LTR33C	ENSG00000232229.8	LINC00865	
chr10	89888028	89888029	+	Predicted	LTR|ERV1|LTR8B	ENSG00000280560.3	LINC01374	
chr10	90807629	90807636	+	Annotated	LTR|ERV1|LTR7	ENSG00000289580.1	ENSG00000289580	ENST00000685016.1
chr10	90903193	90903194	+	Predicted	DNA|TcMar-Tigger|Tigger13a	ENSG00000148688.14	RPP30	
chr10	91611459	91611460	-	Annotated	LTR|ERV1|LTR78B			NR_024467.1
chr10	92830081	92830082	+	Predicted	LTR|ERV1|MER41B	ENSG00000138190.17	EXOC6	
chr10	93510679	93510680	-	Annotated	LINE|L1|L1MC4	ENSG00000212396.1	RNA5SP323	ENST00000391094.1
chr10	93617693	93617695	+	Predicted	SINE|Alu|AluSq2	ENSG00000095464.10	PDE6C	
chr10	93906252	93906254	+	Predicted	LTR|ERVL-MaLR|MLT1G1	ENSG00000176273.15	SLC35G1	
chr10	94239379	94239380	+	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000138193.17	PLCE1	
chr10	94557180	94557181	+	Predicted	LINE|L2|L2a	ENSG00000119969.16	HELLS	
chr10	95711764	95711780	+	Annotated	LTR|ERV1|MER39B	ENSG00000138185.20	ENTPD1	ENST00000453258.6
chr10	96112747	96112748	+	Annotated	LTR|ERVL-MaLR|MLT1F	ENSG00000200728.1	RNU6-271P	ENST00000363858.1
chr10	96618787	96618788	-	Annotated	SINE|MIR|MIR	ENSG00000155629.15	PIK3AP1	ENST00000467625.5
chr10	97101441	97101442	-	Predicted	SINE|MIR|MIR3	ENSG00000187122.17	SLIT1	
chr10	97102756	97102780	+	Annotated	SINE|MIR|MIR3	ENSG00000234855.2	SLIT1-AS1	ENST00000424428.1
chr10	97425739	97425740	-	Predicted	SINE|MIR|MIRc	ENSG00000052749.14	RRP12	
chr10	9759236	9759281	-	Annotated	LTR|ERVL-MaLR|MLT1B	ENSG00000228636.3	LINC02663	ENST00000419836.1
